Series,Mazur.lnk,Mazur.RMSE,Mazur.BIC,Mazur.AIC,Mazur.BF,Mazur.prob,Mazur.notes,exp.lnk,exp.RMSE,exp.BIC,exp.AIC,exp.BF,exp.prob,exp.notes,BD.beta,BD.delta,BD.RMSE,BD.BIC,BD.AIC,BD.BF,BD.prob,BD.notes,MG.lnk,MG.s,MG.RMSE,MG.BIC,MG.AIC,MG.BF,MG.prob,MG.notes,Rachlin.lnk,Rachlin.s,Rachlin.RMSE,Rachlin.BIC,Rachlin.AIC,Rachlin.BF,Rachlin.prob,Rachlin.notes,Loewenstein-Prelec.lnk,Loewenstein-Prelec.beta,Loewenstein-Prelec.RMSE,Loewenstein-Prelec.BIC,Loewenstein-Prelec.AIC,Loewenstein-Prelec.BF,Loewenstein-Prelec.prob,Loewenstein-Prelec.notes,EbertPrelec.lnk,EbertPrelec.s,EbertPrelec.RMSE,EbertPrelec.BIC,EbertPrelec.AIC,EbertPrelec.BF,EbertPrelec.prob,EbertPrelec.notes,Bleichrodt.lnk,Bleichrodt.s,Bleichrodt.beta,Bleichrodt.RMSE,Bleichrodt.BIC,Bleichrodt.AIC,Bleichrodt.BF,Bleichrodt.prob,Bleichrodt.notes,Parabolic.lnk,Parabolic.RMSE,Parabolic.BIC,Parabolic.AIC,Parabolic.BF,Parabolic.prob,Parabolic.notes,Power.lnk,Power.lns,Power.RMSE,Power.BIC,Power.AIC,Power.BF,Power.prob,Power.notes,noise.mean,noise.RMSE,noise.BIC,noise.AIC,noise.BF,noise.prob,probmodel,probmodel.ED50,probmodel.AUC,probmodel.Log10AUC,delays,values,ResponseId
158,-3.3932,0.118825,-6.06454,-5.95636,377.505,0.890558,Success: relative step is no more than EpsX,-3.73426,0.169855,-1.0624,-0.954219,30.9544,0.0730232,Success: relative step is no more than EpsX,0.885778,0.982723,0.163259,0.329005,0.491274,15.4377,0.0364185,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468571,0.277356,5.80263,5.91081,1,0.00235906,Hyperbolic (f),3.3932,0.165333,0.538965,"1,4,26,52,156,260,520","0.98,0.75,0.55,0.25,0.25,0.25,0.25",R_1LYlcKO4GRHiRHz
159,-1.01017,0.0994346,-8.55861,-8.45043,3097.87,0.159074,Success: relative step is no more than EpsX,-1.32916,0.0820579,-11.2477,-11.1395,11884.5,0.610266,Success: relative step is no more than EpsX,1,0.767435,0.0820579,-9.30174,-9.13947,4491.93,0.230659,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195,0.313517,7.51833,7.62651,1,5.13E-05,Exponential (f),1.32916,0.00558624,0.159919,"1,4,26,52,156,260,520","0.94,0.25,0.075,0.025,0.025,0.025,0.025",R_3NV7BPREuUJmPFL
160,-2.96564,0.0994552,-8.55571,-8.44753,2094.84,0.899657,Success: relative step is no more than EpsX,-3.38752,0.145147,-3.26318,-3.155,148.557,0.0637997,Success: relative step is no more than EpsX,0.887135,0.973539,0.136778,-2.14871,-1.98644,85.0917,0.0365438,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.403571,0.296536,6.73875,6.84693,1,0.000429463,Hyperbolic (f),2.96564,0.122448,0.476387,"1,4,26,52,156,260,520","0.85,0.85,0.35,0.25,0.25,0.25,0.025",R_2AF5hG9m8u1pimr
161,-0.351239,0.219222,2.50957,2.61775,0.00505986,0.00707179,Success: relative step is no more than EpsX,-0.835237,0.255286,4.64176,4.74994,0.00174236,0.00243517,Success: relative step is no more than EpsX,0.319568,0.998921,0.0941678,-7.37461,-7.21234,0.708697,0.990493,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278571,0.103016,-8.06327,-7.95509,1,1.39763,Noise,NA,0.278571,0.278571,"1,4,26,52,156,260,520","0.35,0.45,0.35,0.15,0.15,0.25,0.25",R_bqMw2aZIM2j08GB
162,-2.58867,0.111097,-7.0059,-6.89772,2944.15,0.76701,Success: relative step is no more than EpsX,-2.98111,0.137886,-3.98167,-3.87349,649.019,0.169083,Success: relative step is no more than EpsX,1,0.95053,0.137886,-2.03576,-1.87349,245.306,0.0639072,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379286,0.347752,8.96925,9.07743,1,0.00026052,Hyperbolic (f),2.58867,0.0927999,0.421474,"1,4,26,52,156,260,520","0.98,0.85,0.15,0.25,0.25,0.15,0.025",R_12rLKk435zLNE9F
163,-0.293531,0.109705,-7.18246,-7.07428,353.686,0.0325409,Success: relative step is no more than EpsX,-0.755559,0.0707393,-13.3256,-13.2174,7631.03,0.702093,Success: relative step is no more than EpsX,1,0.625159,0.0707393,-11.3797,-11.2174,2884.26,0.265366,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128571,0.253697,4.55436,4.66254,1,9.20E-05,Exponential (f),0.755559,0.00256424,0.0956554,"1,4,26,52,156,260,520","0.75,0.025,0.025,0.025,0.025,0.025,0.025",R_xDzzNuN4tmHMkCJ
164,1.75987,0.020201,-30.8714,-30.7632,223.154,0.598446,Success: relative step is no more than EpsX,0.639168,0.0230677,-29.0135,-28.9054,88.1419,0.236376,Success: relative step is no more than EpsX,0.272566,0.550324,0.0211288,-28.2968,-28.1345,61.5933,0.165179,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0428571,0.0437409,-20.0556,-19.9475,1,0.00268176,Hyperbolic (f),-1.75987,0.00202083,0.0253345,"1,4,26,52,156,260,520","0.15,0.025,0.025,0.025,0.025,0.025,0.025",R_UsXpeqfymQJjRdL
165,-2.74538,0.101399,-8.28471,-8.17653,9578.37,0.48442,Success: relative step is no more than EpsX,-3.16661,0.10521,-7.76817,-7.65999,7398.21,0.37416,Success: relative step is no more than EpsX,1,0.95873,0.10521,-5.82226,-5.65999,2796.26,0.141419,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.390714,0.375656,10.0498,10.158,1,5.06E-05,Hyperbolic (f),2.74538,0.104275,0.444228,"1,4,26,52,156,260,520","0.98,0.98,0.25,0.15,0.15,0.15,0.075",R_2b2lvS1p79tKw6y
166,-0.869681,0.136503,-4.12274,-4.01456,479.784,0.13059,Success: relative step is no more than EpsX,-1.19778,0.108998,-7.27303,-7.16485,2318.05,0.630938,Success: relative step is no more than EpsX,1,0.739439,0.108998,-5.32712,-5.16485,876.142,0.238472,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179286,0.329723,8.22393,8.33211,1,0.000272184,Exponential (f),1.19778,0.00471983,0.144087,"1,4,26,52,156,260,520","0.98,0.15,0.025,0.025,0.025,0.025,0.025",R_3LhvUswPO06xUOJ
167,-5.9459,0.0893708,-10.0525,-9.94431,433.867,0.701356,Success: relative step is no more than EpsX,-6.31587,0.106086,-7.65215,-7.54397,130.656,0.211208,Success: relative step is no more than EpsX,0.975242,0.998308,0.104715,-5.88828,-5.72601,54.0891,0.0874362,Success: relative step is no more than EpsX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.795714,0.212795,2.09298,2.20116,1,0.00161652,Hyperbolic (f),5.9459,0.630568,0.863075,"1,4,26,52,156,260,520","0.98,0.98,0.98,0.98,0.55,0.55,0.55",R_1Ok56UfVYywEfiP
