"ResponseId","Q22_1","Q22_2","Q22_3","Q22_4","Q22_5","Q22_6","Q22_7","Q22_8","Q22_9","Q22_10","Q22_11","Q22_12","Q22_13","Q22_14","Q22_15","Q22_16","Q22_17","Q22_18","Q22_19","Q22_20","Q22_21","Q24_1","Q24_2","Q24_3","Q24_4","Q24_5","Q24_6","Q24_7","Q24_8","Q24_9","Q24_10","Q24_11","Q24_12","Q24_13","Q24_14","Q24_15","Q24_16","Q24_17","Q24_18","Q24_19","Q24_20","Q24_21","Q25_1","Q25_2","Q25_3","Q25_4","Q25_5","Q25_6","Q25_7","Q25_8","Q25_9","Q25_10","Q25_11","Q25_12","Q25_13","Q25_14","Q25_15","Q25_16","Q25_17","Q25_18","Q25_19","Q25_20","Q25_21","Q26_1","Q26_2","Q26_3","Q26_4","Q26_5","Q26_6","Q26_7","Q26_8","Q26_9","Q26_10","Q26_11","Q26_12","Q26_13","Q26_14","Q26_15","Q26_16","Q26_17","Q26_18","Q26_19","Q26_20","Q26_21","condition","FSC","age","meanstress"
"R_1KcINUAc6icJoHf",2,2,1,2,1,2,2,1,2,2,2,2,1,2,1,2,1,1,1,2,2,2,2,1,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,2,1,1,1,2,2,1,2,1,2,1,1,2,1,2,2,"iva",4.5,NA,3
"R_1kHVPFh8u0lhIjF",2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,2,2,1,1,2,2,2,1,1,2,1,1,2,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,1,1,2,1,2,2,"iva",5.25,47,3.166666667
"R_1kLiWCpTwHmIxFV",1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,"iva",NA,47,4.666666667
"R_1kNfh5z9oOR88mw",1,2,2,2,1,2,1,1,2,2,1,1,2,1,1,2,1,2,1,2,1,2,2,1,1,1,2,2,1,2,1,2,2,1,1,1,2,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,2,1,1,2,2,1,2,2,1,1,1,2,1,2,2,"control",5,58,2.666666667
"R_1kNVbboFw6FAocO",2,1,1,1,2,1,2,2,1,1,2,2,1,2,1,2,2,1,2,2,2,1,1,2,2,1,1,2,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,1,1,2,1,2,2,"iva",3.25,49,6.333333333
"R_1LG8LoYeF3V2WBy",1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,1,2,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,1,1,2,2,2,1,2,1,1,2,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,1,1,2,2,1,2,1,2,1,1,2,1,2,2,"control",5,48,2.166666667
"R_1Lh64zYI9snCn1p",2,1,1,2,1,2,1,1,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,2,1,1,1,2,2,1,2,1,2,1,2,2,1,2,2,"iva",5.5,35,2.5
"R_1LpXU0Ijt1riSaG",1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,2,2,2,1,2,2,1,2,2,1,1,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,2,1,1,1,2,2,2,1,1,2,1,2,2,1,1,1,2,1,2,1,2,2,1,2,1,1,"iva",1.75,57,5.666666667
"R_1lucTu48LJB1mvC",1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,2,2,1,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,1,1,1,2,2,1,2,1,2,1,2,2,1,2,2,"control",6,40,5
"R_1LYSKgq3Dsc4Cub",1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,2,2,1,1,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,2,2,2,2,1,2,1,2,2,1,2,2,1,1,1,2,1,1,2,2,1,2,2,1,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,"control",5.5,34,4.166666667
"R_1LYvfU122ppHS8p",2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,2,1,1,1,2,2,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,NA,2,1,2,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,1,1,2,1,2,2,"iva",NA,48,6.5
